head	rel	tail	hastscore	hasescore	hasdscore
1852	0	6715	1.0	1.0	1.0
736	0	5173	1.0	1.0	1.0
814	0	3587	1.0	1.0	1.0
553	0	4177	1.0	1.0	1.0
61	0	7176	1.0	1.0	1.0
576	0	9021	1.0	1.0	1.0
1264	0	3742	1.0	1.0	1.0
1001	0	6733	1.0	1.0	1.0
1335	0	6445	1.0	1.0	1.0
458	0	2674	1.0	1.0	1.0
915	0	6143	1.0	1.0	1.0
2884	0	1120	1.0	1.0	1.0
2171	0	6326	1.0	1.0	1.0
553	0	3330	1.0	1.0	1.0
1092	0	6928	1.0	1.0	1.0
2303	0	2502	1.0	1.0	1.0
308	0	459	1.0	1.0	1.0
1906	0	4894	1.0	1.0	1.0
707	0	3500	1.0	1.0	1.0
464	0	7212	1.0	1.0	1.0
1058	0	5784	1.0	1.0	1.0
847	0	6865	1.0	1.0	1.0
1364	0	2829	1.0	1.0	1.0
1325	0	6060	1.0	1.0	1.0
1893	0	6554	1.0	1.0	1.0
816	0	4515	1.0	1.0	1.0
1174	0	5036	1.0	1.0	1.0
537	0	8907	1.0	1.0	1.0
501	0	3128	1.0	1.0	1.0
306	0	1669	1.0	1.0	1.0
957	0	6459	1.0	1.0	1.0
1617	0	8496	1.0	1.0	1.0
1493	0	5874	1.0	1.0	1.0
1135	0	5507	1.0	1.0	1.0
1980	0	6970	1.0	1.0	1.0
1597	0	7721	1.0	1.0	1.0
847	0	1694	1.0	1.0	1.0
1496	0	3358	1.0	1.0	1.0
1155	0	508	1.0	1.0	1.0
1592	0	5359	1.0	1.0	1.0
464	0	3124	1.0	1.0	1.0
947	0	3792	1.0	1.0	1.0
102	0	2036	1.0	1.0	1.0
610	0	69	1.0	1.0	1.0
337	0	3377	1.0	1.0	1.0
1757	0	6654	1.0	1.0	1.0
1804	0	8546	1.0	1.0	1.0
453	0	8988	1.0	1.0	1.0
6	0	7226	1.0	1.0	1.0
1226	0	3493	1.0	1.0	1.0
957	0	8049	1.0	1.0	1.0
648	0	3791	1.0	1.0	1.0
553	0	7083	1.0	1.0	1.0
1723	0	4536	1.0	1.0	1.0
1058	0	1699	1.0	1.0	1.0
1496	0	2690	1.0	1.0	1.0
947	0	7982	1.0	1.0	1.0
1492	0	8914	1.0	1.0	1.0
453	0	8950	1.0	1.0	1.0
695	0	3490	1.0	1.0	1.0
1362	0	2914	1.0	1.0	1.0
1748	0	4626	1.0	1.0	1.0
247	0	7983	1.0	1.0	1.0
1081	0	6011	1.0	1.0	1.0
805	0	5924	1.0	1.0	1.0
902	0	5547	1.0	1.0	1.0
133	0	7393	1.0	1.0	1.0
681	0	1034	1.0	1.0	1.0
266	0	3493	1.0	1.0	1.0
877	0	2899	1.0	1.0	1.0
464	0	6259	1.0	1.0	1.0
1770	0	2078	1.0	1.0	1.0
233	0	6451	1.0	1.0	1.0
485	0	801	1.0	1.0	1.0
844	0	499	1.0	1.0	1.0
253	0	1298	1.0	1.0	1.0
1124	0	8449	1.0	1.0	1.0
209	0	6134	1.0	1.0	1.0
1362	0	739	1.0	1.0	1.0
464	0	6514	1.0	1.0	1.0
1155	0	6594	1.0	1.0	1.0
1906	0	4810	1.0	1.0	1.0
208	0	4367	1.0	1.0	1.0
1341	0	3785	1.0	1.0	1.0
480	0	4426	1.0	1.0	1.0
407	0	7719	1.0	1.0	1.0
2500	0	4132	1.0	1.0	1.0
1818	0	8108	1.0	1.0	1.0
458	0	4244	1.0	1.0	1.0
1098	0	4487	1.0	1.0	1.0
569	0	3613	1.0	1.0	1.0
1020	0	6634	1.0	1.0	1.0
1791	0	2490	1.0	1.0	1.0
1748	0	1846	1.0	1.0	1.0
814	0	3341	1.0	1.0	1.0
553	0	6648	1.0	1.0	1.0
587	0	7575	1.0	1.0	1.0
2500	0	2322	1.0	1.0	1.0
695	0	6026	1.0	1.0	1.0
1979	0	5556	1.0	1.0	1.0
247	0	6998	1.0	1.0	1.0
64	0	5304	1.0	1.0	1.0
1818	0	7646	1.0	1.0	1.0
306	0	4529	1.0	1.0	1.0
779	0	5968	1.0	1.0	1.0
1818	0	6942	1.0	1.0	1.0
899	0	7369	1.0	1.0	1.0
729	0	4438	1.0	1.0	1.0
233	0	8703	1.0	1.0	1.0
648	0	5694	1.0	1.0	1.0
2115	0	2415	1.0	1.0	1.0
988	0	3371	1.0	1.0	1.0
2031	0	8145	1.0	1.0	1.0
1348	0	4601	1.0	1.0	1.0
603	0	6909	1.0	1.0	1.0
318	0	1863	1.0	1.0	1.0
464	0	6451	1.0	1.0	1.0
601	0	1209	1.0	1.0	1.0
925	0	3132	1.0	1.0	1.0
306	0	3493	1.0	1.0	1.0
1328	0	7285	1.0	1.0	1.0
594	0	3742	1.0	1.0	1.0
1364	0	6254	1.0	1.0	1.0
1116	0	5997	1.0	1.0	1.0
1077	0	2870	1.0	1.0	1.0
2069	0	4272	1.0	1.0	1.0
1177	0	529	1.0	1.0	1.0
148	0	8092	1.0	1.0	1.0
1306	0	1363	1.0	1.0	1.0
957	0	9217	1.0	1.0	1.0
480	0	5179	1.0	1.0	1.0
1506	0	7013	1.0	1.0	1.0
715	0	6121	1.0	1.0	1.0
2016	0	2438	1.0	1.0	1.0
526	0	2337	1.0	1.0	1.0
464	0	2123	1.0	1.0	1.0
719	0	4739	1.0	1.0	1.0
1531	0	4419	1.0	1.0	1.0
1455	0	459	1.0	1.0	1.0
269	0	1099	1.0	1.0	1.0
555	0	7087	1.0	1.0	1.0
464	0	6575	1.0	1.0	1.0
1364	0	2421	1.0	1.0	1.0
1902	0	2461	1.0	1.0	1.0
1299	0	7331	1.0	1.0	1.0
1335	0	2876	1.0	1.0	1.0
1852	0	4361	1.0	1.0	1.0
779	0	3625	1.0	1.0	1.0
587	0	6678	1.0	1.0	1.0
464	0	6836	1.0	1.0	1.0
715	0	8823	1.0	1.0	1.0
1288	0	5169	1.0	1.0	1.0
464	0	3453	1.0	1.0	1.0
6	0	7746	1.0	1.0	1.0
266	0	5507	1.0	1.0	1.0
186	0	7150	1.0	1.0	1.0
454	0	819	1.0	1.0	1.0
729	0	4965	1.0	1.0	1.0
1315	0	2906	1.0	1.0	1.0
792	0	4955	1.0	1.0	1.0
1899	0	6001	1.0	1.0	1.0
186	0	5120	1.0	1.0	1.0
