entity,id
Protein_RPS6KA4,1021
Reaction_R-HSA-1225951,1022
Protein_CDKN1B,1023
GO_0007049_instance,1024
Protein_HINT1,1025
Sample_GSM1317930,1026
Sample_GSM1317910,1027
Protein_IKZF5,1028
Pathway_R-HSA-8950505,1029
GO_0006793_instance,1030
Protein_MED24,1031
Protein_MED29,1032
Pathway_R-HSA-5653656,1033
Protein_EXOC8,1034
Protein_ZFP36L2,1035
Reaction_R-HSA-3159227,1036
Protein_ZBTB14,1037
Protein_ITM2B,1038
Reaction_R-HSA-9026890,1039
Protein_MRPL14,1040
Protein_SMAP1,1041
Protein_TTC1,1042
Protein_PRCP,1043
Reaction_R-HSA-3788708,1044
Protein_CLSTN1,1045
Protein_SLC35B1,1046
Protein_ADI1,1047
Protein_ITPK1,1048
Reaction_R-HSA-9011949,1049
Pathway_R-HSA-9018519,1050
Protein_FBXW5,1051
Protein_CTSZ,1052
Protein_ARPC5,1053
Protein_LIN7C,1054
GO_0045893_instance,1055
Sample_GSM1317926,1056
Protein_SH2D1A,1057
Protein_AKIRIN1,1058
Reaction_R-HSA-4086036,1059
Reaction_R-HSA-202437,1060
GO_0031974_instance,1061
Protein_LSM6,1062
GO_0048523_instance,1063
Reaction_R-HSA-5671749,1064
Protein_RFK,1065
Protein_WASHC2C,1066
